,Filial ,Código,Descrição,Embalagem,Estoque,Comprador ,Quant.,Validade,Preço c/ST,Status,UF,Custo Médio,Custo Total,Classe,MULTIPLO,VENDAS
,3B,98230,LOMBO CANADENSE PAMPLONA,KG,#ERROR!,#ERROR!,"2,06",13/02/2026,#ERROR!,1,CUIABÁ e VARZEA," 21,992832"," R$  45,31 ",MUITO CRÍTICO,,0
,3B,162828,"PREP SABOR MUSSARELA FAT 2,27KG RF OPERA",KG,#ERROR!,#ERROR!,"173,52",13/02/2026,#ERROR!,1,CUIABÁ e VARZEA," 20,894056"," R$  3.625,54 ",MUITO CRÍTICO,,#ERROR!
,3B,132984,CATCHUP AMERICAN 380G JUNIOR,UN,#ERROR!,#ERROR!,"12,00",13/02/2026,#ERROR!,1,CUIABÁ e VARZEA," 8,73039"," R$  104,76 ",MUITO CRÍTICO,,0
,3B,162822,GUIOZA KOREA SUINO MINI 2X278G CG BIBIGO,PC,#ERROR!,#ERROR!,"29,00",14/02/2026,#ERROR!,2,CUIABÁ e VARZEA," 20,016693"," R$  580,48 ",MUITO CRÍTICO,,0
,3B,118687,QUEIJO MUSSARELA BARRA +-3KG POLENGHI,KG,#ERROR!,#ERROR!,"189,75",14/02/2026,#ERROR!,2,CUIABÁ e VARZEA," 26,304414"," R$  4.991,26 ",MUITO CRÍTICO,,0
,3B,106638,SUINO RABO SALG 13KG RF EXCELENCIA,KG,#ERROR!,#ERROR!,"13,00",14/02/2026,#ERROR!,2,CUIABÁ e VARZEA," 19,296154"," R$  250,85 ",MUITO CRÍTICO,,0
,3B,11298,CREME DE LEITE TP 200G ITAMBE,UN,#ERROR!,#ERROR!,"135,00",14/02/2026,#ERROR!,2,CUIABÁ e VARZEA," 2,394711"," R$  323,29 ",MUITO CRÍTICO,,0
,3B,2169,"PRESUNTO COZ OVAL +-3,3KG RF DALIA",KG,#ERROR!,#ERROR!,"6,62",15/02/2026,#ERROR!,3,CUIABÁ e VARZEA," 13,5594"," R$  89,76 ",MUITO CRÍTICO,,0
,3B,4876,LINGUICA TOSCANA 5KG CG NABRASA PERDIGAO,KG,#ERROR!,#ERROR!,"30,00",15/02/2026,#ERROR!,3,CUIABÁ e VARZEA," 18,288938"," R$  548,67 ",MUITO CRÍTICO,,0
,3B,112708,"CREAM CHEESE BD 3,6KG RF SCALA",UN,#ERROR!,#ERROR!,"1,00",15/02/2026,#ERROR!,3,CUIABÁ e VARZEA," 86,0808"," R$  86,08 ",MUITO CRÍTICO,,0
,3B,106760,"LINGUICA CALABRESA RETA +-4,5KG RF DALIA",KG,#ERROR!,#ERROR!,"23,53",16/02/2026,#ERROR!,4,CUIABÁ e VARZEA," 14,3127"," R$  336,71 ",MUITO CRÍTICO,,0
,3B,159808,"PRESUNTO MIGNONETO +-3,4KG SADIA",KG,#ERROR!,#ERROR!,"6,90",17/02/2026,#ERROR!,5,"CUIABÁ, VARZEA e INTERIOR"," 15,591757"," R$  107,58 ",MUITO CRÍTICO,,0
,3B,91474,MAIONESE SACHE 168X7G HELLMANNS,CX,#ERROR!,#ERROR!,"58,00",17/02/2026,#ERROR!,5,"CUIABÁ, VARZEA e INTERIOR"," 15,911009"," R$  922,84 ",MUITO CRÍTICO,,0
,3B,162108,CATCHUP SACHE 168X7G HELLMANNS,CX,#ERROR!,#ERROR!,"105,00",18/02/2026,#ERROR!,6,"CUIABÁ, VARZEA e INTERIOR"," 16,007384"," R$  1.680,78 ",MUITO CRÍTICO,,0
,3B,134937,FEIJAO CARIOCA PREMIUM T1 1KG FRITZ E FR,UN,#ERROR!,#ERROR!,"70,00",18/02/2026,#ERROR!,6,"CUIABÁ, VARZEA e INTERIOR"," 5,660259"," R$  396,22 ",MUITO CRÍTICO,,0
,3B,134917,ARROZ INTEG 1KG FRITZ E FRIDA,UN,#ERROR!,#ERROR!,"430,00",18/02/2026,#ERROR!,6,"CUIABÁ, VARZEA e INTERIOR"," 4,33558"," R$  1.864,30 ",MUITO CRÍTICO,,0
,3B,112907,"PREP SABOR PRATO FAT 2,73KG RF POLENGHI",KG,#ERROR!,#ERROR!,"60,06",19/02/2026,#ERROR!,7,"CUIABÁ, VARZEA e INTERIOR"," 27,468862"," R$  1.649,78 ",MUITO CRÍTICO,,0
,3B,134493,ARROZ ORIENTAL CURTO 5KG SAISHI,PT,#ERROR!,#ERROR!,"1,00",19/02/2026,#ERROR!,7,"CUIABÁ, VARZEA e INTERIOR"," 38,577179"," R$  38,58 ",MUITO CRÍTICO,,0
,3B,163118,MOLHO CULINARIO CHEDDAR 400G SCHREIBER,UN,#ERROR!,#ERROR!,"115,00",21/02/2026,#ERROR!,9,"CUIABÁ, VARZEA e INTERIOR"," 8,477432"," R$  974,90 ",MUITO CRÍTICO,,0
,3B,156633,PRESUNTO FAT 180G SADIA,UN,#ERROR!,#ERROR!,"16,00",22/02/2026,#ERROR!,10,"CUIABÁ, VARZEA e INTERIOR"," 5,142643"," R$  82,28 ",MUITO CRÍTICO,,0
,3B,110555,FARINHA AMENDOA 1KG NUANCE,UN,#ERROR!,#ERROR!,"10,00",22/02/2026,#ERROR!,10,"CUIABÁ, VARZEA e INTERIOR"," 66,258494"," R$  662,58 ",MUITO CRÍTICO,,0
,3B,95147,MOLHO BARBECUE 330G HEMMER,SQ,#ERROR!,#ERROR!,"30,00",22/02/2026,#ERROR!,10,"CUIABÁ, VARZEA e INTERIOR"," 7,26"," R$  217,80 ",MUITO CRÍTICO,,0
,3B,154208,"BATATA STEAKHOUSE 2,5KG CG LAMB WESTON I",KG,#ERROR!,#ERROR!,"125,00",22/02/2026,#ERROR!,10,"CUIABÁ, VARZEA e INTERIOR"," 10,451178"," R$  1.306,40 ",MUITO CRÍTICO,,0
,3B,153254,EMPANADO FGO RECH PRES/QUEIJO 110G CG SE,UN,#ERROR!,#ERROR!,"50,00",25/02/2026,#ERROR!,13,"CUIABÁ, VARZEA e INTERIOR"," 2,294263"," R$  114,71 ",CRITICO,,0
,3B,157297,PETIT GATEAU CACAU BELGA 4X60G CG CHEF&C,UN,#ERROR!,#ERROR!,"59,00",25/02/2026,#ERROR!,13,"CUIABÁ, VARZEA e INTERIOR"," 8,558575"," R$  504,96 ",CRITICO,,#ERROR!
,3B,157537,BISC BARRINHA GOIABINHA 120X30G BAUD,UN,#ERROR!,#ERROR!,"117,00",25/02/2026,#ERROR!,13,"CUIABÁ, VARZEA e INTERIOR"," 0,827398"," R$  96,81 ",CRITICO,,0
,3B,116129,MANTEIGA S/SAL 5KG RF ITAMBE,KG,#ERROR!,#ERROR!,"70,00",26/02/2026,#ERROR!,14,"CUIABÁ, VARZEA e INTERIOR"," 42,370847"," R$  2.965,96 ",CRITICO,,0
,3B,165414,BV HAMB TRAD ANGUS 50G CG VPJ,KG,#ERROR!,#ERROR!,"27,00",27/02/2026,#ERROR!,15,"CUIABÁ, VARZEA e INTERIOR"," 45,13702"," R$  1.218,70 ",CRITICO,,0
,3B,153350,ARROZ BRANCO 5KG TUCHE,PT,#ERROR!,#ERROR!,"18,00",27/02/2026,#ERROR!,15,"CUIABÁ, VARZEA e INTERIOR"," 19,047645"," R$  342,86 ",CRITICO,,0
,3B,10230,MARGARINA CREMOSA S/SAL 500G QUALY,UN,#ERROR!,#ERROR!,"24,00",28/02/2026,#ERROR!,16,"CUIABÁ, VARZEA e INTERIOR"," 6,59835"," R$  158,36 ",CRITICO,,0
,3B,110014,PRESUNTO COZ FAT 200G RF PERDIGAO,UN,#ERROR!,#ERROR!,"40,00",28/02/2026,#ERROR!,16,"CUIABÁ, VARZEA e INTERIOR"," 5,143021"," R$  205,72 ",CRITICO,,0
,3B,10646,MOLHO PIMENTA HABANERO VD 60ML BRAVO,GF,#ERROR!,#ERROR!,"21,00",28/02/2026,#ERROR!,16,"CUIABÁ, VARZEA e INTERIOR"," 5,527608"," R$  116,08 ",CRITICO,,0
,3B,116583,"MAIONESE POUCH 1,1KG JUNIOR",UN,#ERROR!,#ERROR!,"9,00",28/02/2026,#ERROR!,16,"CUIABÁ, VARZEA e INTERIOR"," 13,302965"," R$  119,73 ",CRITICO,,0
,3B,85911,FARINHA TRIGO 0000 25KG GRAZIELLA,SC,#ERROR!,#ERROR!,"70,00",28/02/2026,#ERROR!,16,"CUIABÁ, VARZEA e INTERIOR"," 79,973964"," R$  5.598,18 ",CRITICO,,0
,3B,84566,FARINHA TRIGO SUP BRANCA ESP 25KG GRAZIE,SC,#ERROR!,#ERROR!,"30,00",28/02/2026,#ERROR!,16,"CUIABÁ, VARZEA e INTERIOR"," 71,472"," R$  2.144,16 ",CRITICO,,0
,3B,134913,ARROZ BRANCO PREMIUM 5KG FRITZ E FRIDA,UN,#ERROR!,#ERROR!,"36,00",28/02/2026,#ERROR!,16,"CUIABÁ, VARZEA e INTERIOR"," 19,12164"," R$  688,38 ",CRITICO,,0
,3B,719,"PRESUNTO COZ OVAL PC +-3,5KG RF SEARA",KG,#ERROR!,#ERROR!,"6,77",01/03/2026,#ERROR!,17,"CUIABÁ, VARZEA e INTERIOR"," 18,322597"," R$  123,99 ",CRITICO,,0
,3B,4221,"LINGUICA CALABRESA DEF CURVA 2,5KG PERDI",KG,#ERROR!,#ERROR!,"10,00",01/03/2026,#ERROR!,17,"CUIABÁ, VARZEA e INTERIOR"," 15,782332"," R$  157,82 ",CRITICO,,0
,3B,118440,"AZEITE OLIVA EXT VRG 0,5% 500ML LT GALLO",UN,#ERROR!,#ERROR!,"19,00",01/03/2026,#ERROR!,17,"CUIABÁ, VARZEA e INTERIOR"," 28,3488"," R$  538,63 ",CRITICO,,0
,3B,134961,PIPOCA PREMIUM 400G FRITZ E FRIDA,UN,#ERROR!,#ERROR!,"5,00",01/03/2026,#ERROR!,17,"CUIABÁ, VARZEA e INTERIOR"," 1,484934"," R$  7,42 ",CRITICO,,#ERROR!
,3B,116967,COGUMELO SHITAKE SECO FAT 500G NUANCE,PT,#ERROR!,#ERROR!,"3,00",01/03/2026,#ERROR!,17,"CUIABÁ, VARZEA e INTERIOR"," 34,842179"," R$  104,53 ",CRITICO,,0
,3B,137166,"MOLHO TOMATE PIZZA POUCH 1,7KG FUGINI",SH,#ERROR!,#ERROR!,"24,00",01/03/2026,#ERROR!,17,"CUIABÁ, VARZEA e INTERIOR"," 7,015105"," R$  168,36 ",CRITICO,,0
,3B,95305,MOSTARDA AMARELA 200G HEMMER,SQ,#ERROR!,#ERROR!,"86,00",01/03/2026,#ERROR!,17,"CUIABÁ, VARZEA e INTERIOR"," 4,8136"," R$  413,97 ",CRITICO,,0
,3B,164059,AVEIA FLOCOS GROSSOS 200G NUANCE,PO,#ERROR!,#ERROR!,"10,00",01/03/2026,#ERROR!,17,"CUIABÁ, VARZEA e INTERIOR"," 3,677847"," R$  36,78 ",CRITICO,,0
,3B,164060,AVEIA FLOCOS GROSSOS 400G NUANCE,PO,#ERROR!,#ERROR!,"188,00",01/03/2026,#ERROR!,17,"CUIABÁ, VARZEA e INTERIOR"," 5,062448"," R$  951,74 ",CRITICO,,0
,3B,474,BACON EXTRA PALETA DALIA,KG,#ERROR!,#ERROR!,"10,87",02/03/2026,#ERROR!,18,"CUIABÁ, VARZEA e INTERIOR"," 18,3861"," R$  199,86 ",CRITICO,,0
,3B,157295,FAROFA MANDIOCA 400G FRITZ E FRIDA,PT,#ERROR!,#ERROR!,"120,00",02/03/2026,#ERROR!,18,"CUIABÁ, VARZEA e INTERIOR"," 2,5608"," R$  307,30 ",CRITICO,,0
,3B,5235,MAIONESE SACHE 190X7G HEMMER,CX,#ERROR!,#ERROR!,"92,00",02/03/2026,#ERROR!,18,"CUIABÁ, VARZEA e INTERIOR"," 14,6168"," R$  1.344,75 ",CRITICO,,0
,3B,4408,"LINGUICA PAIO 2,5KG PERDIGAO",KG,#ERROR!,#ERROR!,"50,00",03/03/2026,#ERROR!,19,"CUIABÁ, VARZEA e INTERIOR"," 21,504483"," R$  1.075,22 ",CRITICO,,0
,3B,164815,PAO HAMB GERGELIM 12X4X60G CG BREAD M,PT,#ERROR!,#ERROR!,"84,00",03/03/2026,#ERROR!,19,"CUIABÁ, VARZEA e INTERIOR"," 6,696"," R$  562,46 ",CRITICO,,0
,3B,164812,PAO HAMB PRIME BUN  12X4X60G CG BREAD M,PT,#ERROR!,#ERROR!,"48,00",03/03/2026,#ERROR!,19,"CUIABÁ, VARZEA e INTERIOR"," 6,9006"," R$  331,23 ",CRITICO,,0
,3B,154501,MAIONESE BAG SALADA 3KG SEARA,UN,#ERROR!,#ERROR!,"10,00",03/03/2026,#ERROR!,19,"CUIABÁ, VARZEA e INTERIOR"," 20,736465"," R$  207,36 ",CRITICO,,0
,3B,3956,CREAM CHEESE TRAD BISNAGA 1KG DANUBIO,UN,#ERROR!,#ERROR!,"1,00",05/03/2026,#ERROR!,21,"CUIABÁ, VARZEA e INTERIOR"," 38,358333"," R$  38,36 ",ATENÇÃO,,0
,3B,234,"LINGUICA CALABRESA RETA 2,5KG SADIA",KG,#ERROR!,#ERROR!,"35,00",06/03/2026,#ERROR!,22,"CUIABÁ, VARZEA e INTERIOR"," 15,520743"," R$  543,23 ",ATENÇÃO,,0
,3B,106033,LOMBO CANADENSE +-1KG RF EXCELENCIA,KG,#ERROR!,#ERROR!,"31,02",06/03/2026,#ERROR!,22,"CUIABÁ, VARZEA e INTERIOR"," 28,852583"," R$  894,86 ",ATENÇÃO,,0
,3B,116098,MANTEIGA EXTRA S/SAL 200G RF ITAMBE,UN,#ERROR!,#ERROR!,"120,00",06/03/2026,#ERROR!,22,"CUIABÁ, VARZEA e INTERIOR"," 8,2808"," R$  993,70 ",ATENÇÃO,,0
,3B,92282,"MAIONESE BD CASEIRA 2,7KG LIZA",BD,#ERROR!,#ERROR!,"29,00",07/03/2026,#ERROR!,23,"CUIABÁ, VARZEA e INTERIOR"," 23,586586"," R$  684,01 ",ATENÇÃO,,0
,3B,121123,COPA FAT 100G RF SADIA,PT,#ERROR!,#ERROR!,"30,00",08/03/2026,#ERROR!,24,"CUIABÁ, VARZEA e INTERIOR"," 7,285192"," R$  218,56 ",ATENÇÃO,,0
,3B,98457,"LINGUICA CALABRESA RETA 2,5KG RF REZENDE",KG,#ERROR!,#ERROR!,"5,00",08/03/2026,#ERROR!,24,"CUIABÁ, VARZEA e INTERIOR"," 14,372895"," R$  71,86 ",ATENÇÃO,,0
,3B,113394,HAMBURGUER BV TRAD 30X120G BRASA,KG,#ERROR!,#ERROR!,"43,20",08/03/2026,#ERROR!,24,"CUIABÁ, VARZEA e INTERIOR"," 12,0063"," R$  518,67 ",ATENÇÃO,,0
,3B,106019,HAMBURGUER BV 60X90G CG SADIA,KG,#ERROR!,#ERROR!,"21,60",09/03/2026,#ERROR!,25,"CUIABÁ, VARZEA e INTERIOR"," 14,100302"," R$  304,57 ",ATENÇÃO,,0
,3B,132552,QUEIJO GORGONZOLA +-170G RF OPERA,KG,#ERROR!,#ERROR!,"6,12",09/03/2026,#ERROR!,25,"CUIABÁ, VARZEA e INTERIOR"," 42,688256"," R$  261,25 ",ATENÇÃO,,0
,3B,110559,AVEIA FLOCOS FINOS 1KG NUANCE,UN,#ERROR!,#ERROR!,"29,00",09/03/2026,#ERROR!,25,"CUIABÁ, VARZEA e INTERIOR"," 5,407884"," R$  156,83 ",ATENÇÃO,,0
,3B,72409,"LINGUICA DEF FINA 2,5KG PERDIGAO",KG,#ERROR!,#ERROR!,"15,00",10/03/2026,#ERROR!,26,"CUIABÁ, VARZEA e INTERIOR"," 16,339356"," R$  245,09 ",ATENÇÃO,,0
,3B,10121,APRESUNTADO RETANG RF PAMPLONA,KG,#ERROR!,#ERROR!,"1,33",10/03/2026,#ERROR!,26,"CUIABÁ, VARZEA e INTERIOR"," 11,770951"," R$  15,62 ",ATENÇÃO,,0
,3B,91209,EMPANADO STEAK FGO 100G CG PERDIGAO,KG,#ERROR!,#ERROR!,"45,00",10/03/2026,#ERROR!,26,"CUIABÁ, VARZEA e INTERIOR"," 10,665666"," R$  479,95 ",ATENÇÃO,,0
,3B,105237,MARGARINA C/SAL 500G RF CLAYBOM,UN,#ERROR!,#ERROR!,"24,00",11/03/2026,#ERROR!,27,"CUIABÁ, VARZEA e INTERIOR"," 4,63605"," R$  111,27 ",ATENÇÃO,,0
,3B,11447,MOLHO FRENCH SACHE 180X18G JUNIOR,CX,#ERROR!,#ERROR!,"2,00",11/03/2026,#ERROR!,27,"CUIABÁ, VARZEA e INTERIOR"," 69,137309"," R$  138,27 ",ATENÇÃO,,0
,3B,134935,FEIJAO BRANCO PREMIUM T1 500G FRITZ I,UN,#ERROR!,#ERROR!,"70,00",11/03/2026,#ERROR!,27,"CUIABÁ, VARZEA e INTERIOR"," 5,815559"," R$  407,09 ",ATENÇÃO,,0
,3B,112965,"REQUEIJAO BISNAGA 1,5KG RF POLENGHI",#N/A,#ERROR!,#ERROR!,"1,00",12/03/2026,#ERROR!,28,"CUIABÁ, VARZEA e INTERIOR"," 43,352297"," R$  43,35 ",ATENÇÃO,,0
,3B,134917,ARROZ INTEG 1KG FRITZ E FRIDA,UN,#ERROR!,#ERROR!,"1728,00",12/03/2026,,28,"CUIABÁ, VARZEA e INTERIOR"," 4,33558"," R$  7.491,88 ",ATENÇÃO,,#ERROR!
,3B,113916,MORTADELA C/PISTACHE FAT 150G RF CERATTI,UN,#ERROR!,#ERROR!,"14,00",13/03/2026,#ERROR!,29,"CUIABÁ, VARZEA e INTERIOR"," 10,480963"," R$  146,73 ",ATENÇÃO,,0
,3B,162781,"LINGUICA CALABRESA RETA 2,5KG RF SADIA",KG,#ERROR!,#ERROR!,"45,00",13/03/2026,#ERROR!,29,"CUIABÁ, VARZEA e INTERIOR"," 17,24241"," R$  775,91 ",ATENÇÃO,,0
,3B,120759,SALSA FLOCOS 250G NUANCE,PT,#ERROR!,#ERROR!,"137,00",13/03/2026,#ERROR!,29,"CUIABÁ, VARZEA e INTERIOR"," 6,770372"," R$  927,54 ",ATENÇÃO,,0
,3B,162319,AVELA S/CASCA 500G NUANCE,PO,#ERROR!,#ERROR!,"12,00",13/03/2026,#ERROR!,29,"CUIABÁ, VARZEA e INTERIOR"," 49,391321"," R$  592,70 ",ATENÇÃO,,0
,3B,1069,"PEITO PERU DEF 2,6KG RF SADIA",KG,#ERROR!,#ERROR!,"33,18",14/03/2026,#ERROR!,30,"CUIABÁ, VARZEA e INTERIOR"," 34,241548"," R$  1.136,13 ",ATENÇÃO,,0
,3B,137398,MARGARINA C/SAL 500G RF DELICIA,UN,#ERROR!,#ERROR!,"222,00",14/03/2026,#ERROR!,30,"CUIABÁ, VARZEA e INTERIOR"," 5,268446"," R$  1.169,60 ",ATENÇÃO,,0
,3B,92160,"MAIONESE CASEIRA POUCH 1,1KG JUNIOR",UN,#ERROR!,#ERROR!,"75,00",14/03/2026,#ERROR!,30,"CUIABÁ, VARZEA e INTERIOR"," 27,759297"," R$  2.081,95 ",ATENÇÃO,,0
,3B,4222,"PRESUNTO COZ OVAL PC +-3,4KG RF PERDIGAO",KG,#ERROR!,#ERROR!,"6,45",16/03/2026,#ERROR!,32,"CUIABÁ, VARZEA e INTERIOR"," 18,397521"," R$  118,66 ",ATENÇÃO,,0
,3B,116101,TRIGO PARA KIBE 25KG ROMARIZ,SC,#ERROR!,#ERROR!,"3,00",16/03/2026,#ERROR!,32,"CUIABÁ, VARZEA e INTERIOR"," 124,104912"," R$  372,31 ",ATENÇÃO,,0
,3B,118307,FARINHA ARROZ 500G NUANCE,PT,#ERROR!,#ERROR!,"10,00",17/03/2026,#ERROR!,33,"CUIABÁ, VARZEA e INTERIOR"," 5,311121"," R$  53,11 ",ATENÇÃO,,0
